date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:00	773/773	---M--	200	added ('OK')	image/png	etag:%224f3e588173385eb2958719aa1b7b09a3%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_insta.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_insta.png	(from https://www.growtopiagame.com/)
12:07:01	2364/2364	---M--	200	added ('OK')	image/png	etag:%22c990bd418b5cf2541f041593c6cc8fb6%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_twitter.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_twitter.png	(from https://www.growtopiagame.com/)
12:07:02	312/312	---M--	200	added ('OK')	image/png	etag:%222f0af8432debd480f5adcbe6042b425e%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_fb.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_fb.png	(from https://www.growtopiagame.com/)
12:07:04	187186/187186	---M--	200	added ('OK')	image/jpeg	etag:%22b5f02aa68b628a77a3dba3f03a6d5214%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_header.jpg	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_header.jpg	(from https://www.growtopiagame.com/)
12:07:04	37581/37581	---M--	200	added ('OK')	image/gif	etag:%22be2e8612c4a9274bb27e2164c3445de2%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/load.gif	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/load.gif	(from https://www.growtopiagame.com/)
12:07:05	67320/67320	---M--	200	added ('OK')	image/png	etag:%2270e776065212ad2572ad1115deb014a4%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/logo_header.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/logo_header.png	(from https://www.growtopiagame.com/)
12:07:06	1660/1660	---M--	200	added ('OK')	image/png	etag:%223c86604b2b5ab7ed6e8267e0a213d630%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/twittericon.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/twittericon.png	(from https://www.growtopiagame.com/)
12:07:07	350912/350912	---M--	200	added ('OK')	image/png	etag:%22d35712787ff69acf1dce7416067f8c11%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_feature_1550388575.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_feature_1550388575.png	(from https://www.growtopiagame.com/)
12:07:08	348227/348227	---M--	200	added ('OK')	image/png	etag:%2243f0d331beb988c0591e721e38f83726%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_feature_1550388575.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_feature_1550388575.png	(from https://www.growtopiagame.com/)
12:07:09	226614/226614	---M--	200	added ('OK')	image/png	etag:%2246a6e1a2d1d59b02c2dd450126f0be6d%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_feature_1550391017.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_feature_1550391017.png	(from https://www.growtopiagame.com/)
12:07:10	242448/242448	---M--	200	added ('OK')	image/png	etag:%22d94da6f72e18d0cfff6358a2422c80ee%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_feature_1550391017.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_feature_1550391017.png	(from https://www.growtopiagame.com/)
12:07:11	510675/510675	---M--	200	added ('OK')	image/png	etag:%2261cc0a0cbf0fb77327a4a3395b4a874a%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_feature_1550388739.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/1_grow_feature_1550388739.png	(from https://www.growtopiagame.com/)
12:07:11	238063/238063	---M--	200	added ('OK')	image/png	etag:%22c88e73d713f41c8050f01ca833c6df3b%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_feature_1550388739.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/upload/resize/1_grow_feature_1550388739.png	(from https://www.growtopiagame.com/)
